1,73, High school graduate, Widowed, Female, Nonfiler,20401.08,2596.41 Not in universe, United-States, Native- Born in the United States,0
807,45, Masters degree(MA MS MEng MEd MSW MBA), Married-civilian spouse present, Male, Joint both under 65,22601.16,2462.67 Not in universe, United-States, Native- Born in the United States,52
808,33, Associates degree-academic program, Married-civilian spouse present, Female, Joint both under 65,35295.36,4366.80 Not in universe, United-States, Native- Born in the United States,52
809,34, High school graduate, Divorced, Male, Single,86302.80,17346.95 Not in universe, United-States, Native- Born in the United States,6
810,45, Masters degree(MA MS MEng MEd MSW MBA), Married-civilian spouse present, Male, Joint both under 65,29904.72,3558.21 Not in universe, United-States, Native- Born in the United States,52
811,39, Associates degree-occup /vocational, Married-civilian spouse present, Male, Joint both under 65,34189.80,4200.97 Not in universe, United-States, Native- Born in the United States,43
812,16, 10th grade, Never married, Male, Nonfiler,15020.76,1789.36 Both parents present, United-States, Native- Born in the United States,0
813,22, Associates degree-academic program, Never married, Female, Single,20262.84,2575.68 Not in universe, United-States, Native- Born in the United States,52
814,65, Some college but no degree, Married-civilian spouse present, Female, Joint both 65+,24740.52,2783.58 Not in universe, United-States, Native- Born in the United States,0
815,67, 10th grade, Widowed, Male, Head of household,29941.44,3828.72 Not in universe, United-States, Native- Born in the United States,0
816,41, Masters degree(MA MS MEng MEd MSW MBA), Married-civilian spouse present, Male, Joint both under 65,30338.76,3623.31 Not in universe, United-States, Native- Born in the United States,52
817,66, High school graduate, Divorced, Female, Nonfiler,21750.00,2798.75 Not in universe, Cuba, Foreign born- U S citizen by naturalization,0
818,51, Masters degree(MA MS MEng MEd MSW MBA), Married-civilian spouse present, Female, Joint both under 65,8582.64,858.26 Not in universe, United-States, Native- Born in the United States,52
819,56, 7th and 8th grade, Widowed, Female, Nonfiler,978.36,97.84 Not in universe, United-States, Native- Born in the United States,2
820,24, 11th grade, Never married, Male, Single,19170.60,2411.84 Not in universe, United-States, Native- Born in the United States,26
821,37, High school graduate, Married-civilian spouse present, Female, Joint both under 65,19922.04,2060.81 Not in universe, United-States, Native- Born in the United States,0
822,55, High school graduate, Widowed, Female, Head of household,36181.08,4764.66 Not in universe, United-States, Native- Born in the United States,52
823,76, 10th grade, Widowed, Female, Nonfiler,14138.28,1656.99 Not in universe, United-States, Native- Born in the United States,0
824,32, Bachelors degree(BA AB BS), Married-civilian spouse present, Male, Joint both under 65,3621.84,362.18 Not in universe, United-States, Native- Born in the United States,52
825,47, Associates degree-academic program, Married-civilian spouse present, Male, Joint both under 65,10912.20,1091.22 Not in universe, United-States, Native- Born in the United States,52
826,51, Some college but no degree, Married-civilian spouse present, Male, Joint both under 65,17061.00,1706.10 Not in universe, United-States, Native- Born in the United States,52
827,36, Some college but no degree, Never married, Female, Nonfiler,18737.04,2346.81 Not in universe, United-States, Native- Born in the United States,0
828,22, Some college but no degree, Never married, Male, Single,32865.48,4466.07 Not in universe, United-States, Native- Born in the United States,52
829,56, 7th and 8th grade, Married-civilian spouse present, Female, Joint one under 65 & one 65+,22518.00,2450.20 Not in universe, United-States, Native- Born in the United States,52
830,37, High school graduate, Married-civilian spouse present, Female, Joint both under 65,12854.52,1285.45 Not in universe, United-States, Native- Born in the United States,0
831,16, 10th grade, Never married, Male, Single,12547.20,1418.33 Both parents present, United-States, Native- Born in the United States,36
832,16, 10th grade, Never married, Female, Nonfiler,24148.92,3158.59 Mother only present, United-States, Native- Born in the United States,0
833,55, Masters degree(MA MS MEng MEd MSW MBA), Widowed, Female, Head of household,21010.20,2489.03 Not in universe, United-States, Native- Born in the United States,40
834,16, 9th grade, Never married, Male, Nonfiler,13077.72,1497.91 Both parents present, United-States, Native- Born in the United States,16
835,40, 1st 2nd 3rd or 4th grade, Married-civilian spouse present, Female, Nonfiler,7980.72,798.07 Not in universe, United-States, Native- Born in the United States,0
836,29, Bachelors degree(BA AB BS), Married-civilian spouse present, Male, Joint both under 65,51161.16,6746.67 Not in universe, France, Foreign born- Not a citizen of U S ,52
837,21, High school graduate, Never married, Male, Single,7358.76,735.88 Not in universe, United-States, Native- Born in the United States,52
838,34, 9th grade, Never married, Male, Single,57232.20,10079.30 Not in universe, United-States, Native- Born in the United States,52
839,74, Some college but no degree, Widowed, Female, Single,4832.88,483.29 Not in universe, United-States, Native- Born in the United States,0
840,15, 9th grade, Never married, Female, Nonfiler,12115.20,1353.53 Mother only present, United-States, Native- Born in the United States,0
841,45, High school graduate, Married-civilian spouse present, Male, Joint both under 65,25060.56,2831.58 Not in universe, United-States, Native- Born in the United States,25
842,19, 11th grade, Never married, Female, Nonfiler,29212.20,3918.08 Not in universe, United-States, Native- Born in the United States,0
843,30, Bachelors degree(BA AB BS), Never married, Female, Single,20672.28,2637.09 Not in universe, United-States, Native- Born in the United States,52
844,27, Masters degree(MA MS MEng MEd MSW MBA), Married-civilian spouse present, Male, Joint both under 65,12380.76,1238.08 Not in universe, United-States, Native- Born in the United States,52
845,46, 1st 2nd 3rd or 4th grade, Separated, Female, Single,15405.48,1847.07 Not in universe, Mexico, Foreign born- Not a citizen of U S ,6
846,65, 7th and 8th grade, Married-civilian spouse present, Female, Joint both 65+,13369.80,1336.98 Not in universe, United-States, Native- Born in the United States,0
847,78, 7th and 8th grade, Widowed, Female, Nonfiler,10256.16,1074.67 Not in universe, United-States, Native- Born in the United States,0
848,53, High school graduate, Married-civilian spouse present, Female, Joint both under 65,15063.48,1506.35 Not in universe, United-States, Native- Born in the United States,46
849,36, Associates degree-occup /vocational, Married-civilian spouse present, Female, Joint both under 65,29064.96,3432.24 Not in universe, United-States, Native- Born in the United States,52
850,51, Bachelors degree(BA AB BS), Married-civilian spouse present, Male, Joint both under 65,15436.20,1543.62 Not in universe, United-States, Native- Born in the United States,52
851,70, Some college but no degree, Married-civilian spouse present, Male, Joint both 65+,37057.56,4631.13 Not in universe, United-States, Native- Born in the United States,0
852,27, Some college but no degree, Married-civilian spouse present, Female, Joint both under 65,4039.32,403.93 Not in universe, United-States, Native- Born in the United States,0
853,53, High school graduate, Widowed, Female, Nonfiler,22401.72,2896.51 Not in universe, United-States, Native- Born in the United States,13
854,71, 10th grade, Widowed, Male, Nonfiler,18059.64,2245.20 Not in universe, United-States, Native- Born in the United States,0
855,20, 10th grade, Never married, Male, Nonfiler,16590.60,2024.84 Not in universe, United-States, Native- Born in the United States,0
856,20, Some college but no degree, Never married, Female, Single,19854.96,2514.49 Not in universe, United-States, Native- Born in the United States,52
857,45, Masters degree(MA MS MEng MEd MSW MBA), Married-civilian spouse present, Female, Joint both under 65,25268.28,2862.74 Not in universe, United-States, Native- Born in the United States,36
858,22, High school graduate, Never married, Female, Single,15465.60,1856.09 Not in universe, United-States, Native- Born in the United States,12
859,49, Bachelors degree(BA AB BS), Married-civilian spouse present, Female, Joint both under 65,12586.32,1258.63 Not in universe, United-States, Native- Born in the United States,52
860,29, 11th grade, Widowed, Female, Head of household,13267.44,1327.62 Not in universe, United-States, Native- Born in the United States,26
861,43, High school graduate, Married-civilian spouse present, Female, Joint both under 65,9645.96,964.60 Not in universe, Mexico, Foreign born- U S citizen by naturalization,52
862,23, Some college but no degree, Never married, Female, Single,15930.72,1925.86 Not in universe, United-States, Native- Born in the United States,52
863,39, Some college but no degree, Never married, Male, Single,17349.24,2138.64 Not in universe, Mexico, Foreign born- Not a citizen of U S ,52
864,46, Bachelors degree(BA AB BS), Divorced, Female, Head of household,5087.04,508.70 Not in universe, United-States, Native- Born in the United States,52
865,15, 9th grade, Never married, Male, Single,13054.68,1494.45 Both parents present, United-States, Native- Born in the United States,52
866,37, Some college but no degree, Married-civilian spouse present, Female, Joint both under 65,17870.88,1787.09 Not in universe, United-States, Native- Born in the United States,52
867,31, Bachelors degree(BA AB BS), Married-civilian spouse present, Male, Joint both under 65,17951.64,1795.16 Not in universe, United-States, Native- Born in the United States,52
868,53, 1st 2nd 3rd or 4th grade, Married-civilian spouse present, Female, Joint both under 65,11327.04,1132.70 Not in universe, Mexico, Foreign born- Not a citizen of U S ,52
869,34, High school graduate, Never married, Female, Head of household,17668.92,1987.84 Not in universe, United-States, Native- Born in the United States,13
870,38, Masters degree(MA MS MEng MEd MSW MBA), Married-civilian spouse present, Female, Joint both under 65,23205.24,2553.29 Not in universe, United-States, Native- Born in the United States,52
871,79, High school graduate, Married-civilian spouse present, Male, Joint both 65+,25362.60,2876.89 Not in universe, United-States, Native- Born in the United States,0
872,41, 9th grade, Widowed, Female, Nonfiler,23044.92,2992.99 Not in universe, United-States, Native- Born in the United States,0
873,53, 5th or 6th grade, Married-civilian spouse present, Male, Joint both under 65,13284.60,1328.46 Not in universe, Puerto-Rico, Native- Born in Puerto Rico or U S Outlying,52
874,32, Masters degree(MA MS MEng MEd MSW MBA), Married-civilian spouse present, Female, Joint both under 65,16392.72,1639.27 Not in universe, United-States, Native- Born in the United States,52
875,82, 7th and 8th grade, Widowed, Female, Nonfiler,23567.28,3071.34 Not in universe, United-States, Native- Born in the United States,0
876,54, Some college but no degree, Married-civilian spouse present, Male, Joint both under 65,15249.00,1524.90 Not in universe, United-States, Native- Born in the United States,52
877,22, Some college but no degree, Never married, Female, Single,31084.08,4198.86 Not in universe, United-States, Native- Born in the United States,52
878,29, Some college but no degree, Married-civilian spouse present, Female, Joint both under 65,33612.60,4114.39 Not in universe, Philippines, Native- Born abroad of American Parent(s),52
879,59, Bachelors degree(BA AB BS), Married-civilian spouse present, Male, Joint both under 65,15685.08,1568.51 Not in universe, United-States, Native- Born in the United States,52
880,34, Some college but no degree, Married-civilian spouse present, Male, Joint both under 65,37148.40,4644.76 Not in universe, Cambodia, Foreign born- Not a citizen of U S ,0
881,31, 9th grade, Married-civilian spouse present, Female, Joint both under 65,21744.00,2334.10 Not in universe, United-States, Native- Born in the United States,52
882,52, High school graduate, Divorced, Male, Single,94468.92,19488.05 Not in universe, United-States, Native- Born in the United States,0
883,41, High school graduate, Divorced, Female, Single,24918.60,3274.04 Not in universe, United-States, Native- Born in the United States,49
884,57, High school graduate, Never married, Female, Single,31512.60,4263.14 Not in universe, United-States, Native- Born in the United States,52
885,19, Associates degree-occup /vocational, Never married, Female, Nonfiler,30031.08,4040.91 Not in universe, United-States, Native- Born in the United States,0
886,37, Some college but no degree, Married-civilian spouse present, Female, Joint both under 65,6937.20,693.72 Not in universe, United-States, Native- Born in the United States,52
887,40, High school graduate, Divorced, Female, Head of household,16412.52,1799.38 Not in universe, Mexico, Foreign born- U S citizen by naturalization,52
888,24, Some college but no degree, Never married, Female, Single,29760.36,4000.30 Not in universe, United-States, Native- Born in the United States,45
889,24, High school graduate, Never married, Male, Single,38550.00,5408.75 Not in universe, United-States, Native- Born in the United States,52
890,65, High school graduate, Widowed, Male, Nonfiler,23650.92,3083.89 Not in universe, United-States, Native- Born in the United States,0
891,57, High school graduate, Married-civilian spouse present, Female, Joint both under 65,20796.48,2191.97 Not in universe, United-States, Native- Born in the United States,0
892,17, 11th grade, Never married, Female, Single,20583.96,2623.84 Both parents present, United-States, Native- Born in the United States,45
893,24, Masters degree(MA MS MEng MEd MSW MBA), Never married, Female, Single,30994.08,4185.36 Not in universe, United-States, Native- Born in the United States,52
894,25, Bachelors degree(BA AB BS), Married-civilian spouse present, Female, Joint both under 65,12969.12,1296.91 Not in universe, United-States, Native- Born in the United States,52
895,50, 9th grade, Widowed, Female, Nonfiler,9264.24,926.42 Not in universe, Ecuador, Foreign born- Not a citizen of U S ,0
896,60, High school graduate, Married-civilian spouse present, Male, Joint both under 65,35395.68,4381.85 Not in universe, United-States, Native- Born in the United States,52
897,53, High school graduate, Married-civilian spouse present, Male, Joint both under 65,23098.08,2537.21 Not in universe, United-States, Native- Born in the United States,0
898,33, 11th grade, Married-civilian spouse present, Male, Joint both under 65,19797.84,2042.18 Not in universe, United-States, Native- Born in the United States,42
899,51, Masters degree(MA MS MEng MEd MSW MBA), Married-civilian spouse present, Female, Joint both under 65,22646.52,2469.48 Not in universe, United-States, Native- Born in the United States,52
900,42, Associates degree-occup /vocational, Married-civilian spouse present, Male, Nonfiler,22351.08,2888.91 Not in universe, United-States, Native- Born in the United States,52
901,23, 12th grade no diploma, Separated, Male, Head of household,12275.40,1227.54 Not in universe, United-States, Native- Born in the United States,52
902,40, Some college but no degree, Married-civilian spouse present, Male, Joint both under 65,5697.96,569.80 Not in universe, United-States, Native- Born in the United States,52
903,29, High school graduate, Married-civilian spouse present, Female, Joint both under 65,17929.92,1792.99 Not in universe, Trinadad&Tobago, Foreign born- Not a citizen of U S ,0
904,64, Doctorate degree(PhD EdD), Never married, Female, Single,23786.88,3104.28 Not in universe, United-States, Native- Born in the United States,52
905,49, Some college but no degree, Married-civilian spouse present, Male, Joint both under 65,17169.24,1716.92 Not in universe, United-States, Native- Born in the United States,52
906,55, 7th and 8th grade, Married-civilian spouse present, Female, Nonfiler,23934.96,3126.49 Not in universe, Mexico, Foreign born- Not a citizen of U S ,0
907,23, Bachelors degree(BA AB BS), Never married, Female, Single,12551.28,1418.94 Not in universe, United-States, Native- Born in the United States,52
908,39, Bachelors degree(BA AB BS), Married-civilian spouse present, Female, Joint both under 65,12427.56,1242.76 Not in universe, United-States, Native- Born in the United States,52
909,82, High school graduate, Married-civilian spouse present, Male, Joint both 65+,29503.56,3498.03 Not in universe, United-States, Native- Born in the United States,0
910,46, Some college but no degree, Divorced, Male, Single,13307.16,1532.32 Not in universe, United-States, Native- Born in the United States,36
911,52, Masters degree(MA MS MEng MEd MSW MBA), Married-civilian spouse present, Female, Joint both under 65,3451.92,345.19 Not in universe, United-States, Native- Born in the United States,52
912,40, Masters degree(MA MS MEng MEd MSW MBA), Married-civilian spouse present, Female, Joint both under 65,10385.16,1038.52 Not in universe, United-States, Native- Born in the United States,52
913,27, High school graduate, Married-civilian spouse present, Female, Joint both under 65,19987.56,2070.63 Not in universe, United-States, Native- Born in the United States,52
914,77, 7th and 8th grade, Widowed, Female, Single,4084.08,408.41 Not in universe, United-States, Native- Born in the United States,0
915,41, 11th grade, Married-civilian spouse present, Female, Joint both under 65,7054.80,705.48 Not in universe, United-States, Native- Born in the United States,49
916,31, Bachelors degree(BA AB BS), Never married, Male, Nonfiler,16211.64,1968.00 Not in universe, ?, Foreign born- Not a citizen of U S ,0
917,34, High school graduate, Married-civilian spouse present, Male, Joint both under 65,7241.88,724.19 Not in universe, ?, Foreign born- Not a citizen of U S ,52
918,63, High school graduate, Married-civilian spouse present, Female, Joint one under 65 & one 65+,24847.32,2799.60 Not in universe, United-States, Native- Born in the United States,52
919,20, Some college but no degree, Never married, Male, Single,14153.04,1659.21 Not in universe, United-States, Native- Born in the United States,52
920,31, High school graduate, Married-A F spouse present, Female, Joint both under 65,9357.00,935.70 Not in universe, United-States, Native- Born in the United States,0
921,51, High school graduate, Married-civilian spouse present, Male, Joint both under 65,40619.04,5165.36 Not in universe, United-States, Native- Born in the United States,25
922,49, High school graduate, Married-civilian spouse present, Female, Joint both under 65,5901.24,590.12 Not in universe, United-States, Native- Born in the United States,52
923,43, 9th grade, Separated, Male, Head of household,8483.76,848.38 Not in universe, Mexico, Foreign born- Not a citizen of U S ,52
924,16, 7th and 8th grade, Never married, Female, Nonfiler,5354.28,535.43 Both parents present, United-States, Native- Born in the United States,0
925,40, 11th grade, Married-civilian spouse present, Female, Joint both under 65,22417.56,2435.13 Not in universe, United-States, Native- Born in the United States,46
926,26, High school graduate, Married-civilian spouse present, Female, Joint both under 65,24699.60,2777.44 Not in universe, United-States, Native- Born in the United States,52
927,46, Some college but no degree, Married-civilian spouse present, Female, Joint both under 65,23520.72,2600.61 Not in universe, United-States, Native- Born in the United States,52
928,43, High school graduate, Married-civilian spouse present, Female, Joint both under 65,15678.60,1567.86 Not in universe, Cuba, Foreign born- Not a citizen of U S ,0
929,31, 7th and 8th grade, Never married, Male, Nonfiler,19238.76,2422.06 Not in universe, United-States, Native- Born in the United States,0
930,36, 9th grade, Married-civilian spouse present, Male, Joint both under 65,14144.40,1414.44 Not in universe, United-States, Native- Born in the United States,40
931,40, High school graduate, Married-civilian spouse present, Female, Joint both under 65,31027.68,3726.65 Not in universe, United-States, Native- Born in the United States,52
932,29, Bachelors degree(BA AB BS), Married-civilian spouse present, Male, Joint both under 65,18023.88,1802.39 Not in universe, United-States, Native- Born in the United States,52
933,70, High school graduate, Widowed, Female, Single,19485.60,2459.09 Not in universe, United-States, Native- Born in the United States,52
934,28, Some college but no degree, Married-civilian spouse present, Male, Joint both under 65,3160.08,316.01 Not in universe, Dominican-Republic, Foreign born- Not a citizen of U S ,52
935,37, High school graduate, Divorced, Male, Single,54044.16,9282.29 Not in universe, United-States, Native- Born in the United States,52
936,33, Masters degree(MA MS MEng MEd MSW MBA), Never married, Female, Single,12013.80,1338.32 Not in universe, United-States, Native- Born in the United States,52
937,23, Some college but no degree, Never married, Female, Single,21336.12,2736.67 Not in universe, United-States, Native- Born in the United States,42
938,36, Masters degree(MA MS MEng MEd MSW MBA), Married-civilian spouse present, Male, Joint both under 65,18587.16,1860.57 Not in universe, India, Foreign born- Not a citizen of U S ,52
939,84, Some college but no degree, Widowed, Female, Single,26168.88,3461.58 Not in universe, United-States, Native- Born in the United States,0
940,35, Associates degree-occup /vocational, Married-civilian spouse present, Male, Joint both under 65,23052.60,2530.39 Not in universe, United-States, Native- Born in the United States,52
941,73, High school graduate, Married-civilian spouse present, Male, Joint both 65+,21512.76,2299.41 Not in universe, United-States, Native- Born in the United States,0
942,60, Some college but no degree, Married-civilian spouse present, Male, Joint both under 65,3823.20,382.32 Not in universe, United-States, Native- Born in the United States,49
943,41, Associates degree-academic program, Divorced, Male, Single,46074.12,7289.78 Not in universe, United-States, Native- Born in the United States,0
944,44, Some college but no degree, Married-spouse absent, Male, Head of household,16907.52,1873.63 Not in universe, Poland, Foreign born- Not a citizen of U S ,26
945,54, High school graduate, Never married, Male, Single,17658.60,2185.04 Not in universe, United-States, Native- Born in the United States,52
946,37, Bachelors degree(BA AB BS), Married-civilian spouse present, Female, Joint both under 65,4382.16,438.22 Not in universe, United-States, Native- Born in the United States,52
947,33, Bachelors degree(BA AB BS), Married-civilian spouse present, Female, Joint both under 65,12393.84,1239.38 Not in universe, United-States, Native- Born in the United States,0
948,30, High school graduate, Married-civilian spouse present, Female, Joint both under 65,43900.44,5657.57 Not in universe, ?, Foreign born- Not a citizen of U S ,0
949,46, Prof school degree (MD DDS DVM LLB JD), Married-civilian spouse present, Female, Joint both under 65,23835.48,2647.82 Not in universe, United-States, Native- Born in the United States,51
950,41, Bachelors degree(BA AB BS), Married-civilian spouse present, Male, Joint both under 65,13157.76,1315.78 Not in universe, United-States, Native- Born in the United States,52
951,25, Some college but no degree, Never married, Female, Head of household,11472.24,1147.22 Not in universe, Dominican-Republic, Foreign born- U S citizen by naturalization,52
952,22, High school graduate, Married-civilian spouse present, Male, Joint both under 65,11713.20,1171.32 Not in universe, United-States, Native- Born in the United States,52
953,38, Bachelors degree(BA AB BS), Married-civilian spouse present, Female, Joint both under 65,12205.92,1220.59 Not in universe, United-States, Native- Born in the United States,52
954,21, Some college but no degree, Never married, Female, Nonfiler,18346.08,2288.16 Not in universe, Vietnam, Foreign born- U S citizen by naturalization,0
955,43, High school graduate, Married-civilian spouse present, Female, Joint both under 65,41288.04,5265.71 Not in universe, United-States, Native- Born in the United States,52
956,15, 7th and 8th grade, Never married, Female, Nonfiler,36607.08,5027.31 Both parents present, United-States, Native- Born in the United States,0
957,18, 11th grade, Never married, Female, Single,35250.96,4823.89 Not in universe, United-States, Native- Born in the United States,40
958,35, Some college but no degree, Married-civilian spouse present, Male, Joint both under 65,34475.16,4243.77 Not in universe, United-States, Native- Born in the United States,52
959,43, Masters degree(MA MS MEng MEd MSW MBA), Married-civilian spouse present, Male, Joint both under 65,15497.52,1549.75 Not in universe, United-States, Native- Born in the United States,52
960,41, High school graduate, Married-civilian spouse present, Female, Joint both under 65,15112.20,1511.22 Not in universe, United-States, Native- Born in the United States,52
961,41, Some college but no degree, Married-civilian spouse present, Female, Joint both under 65,69853.20,9550.48 Not in universe, United-States, Native- Born in the United States,52
962,56, Less than 1st grade, Married-civilian spouse present, Female, Joint both under 65,14364.72,1436.47 Not in universe, Mexico, Foreign born- Not a citizen of U S ,0
963,34, High school graduate, Separated, Female, Head of household,20591.28,2426.19 Not in universe, United-States, Native- Born in the United States,26
964,42, High school graduate, Married-civilian spouse present, Female, Joint both under 65,35215.32,4354.80 Not in universe, United-States, Native- Born in the United States,52
965,22, Some college but no degree, Never married, Female, Single,29282.16,3928.57 Not in universe, United-States, Native- Born in the United States,29
966,37, High school graduate, Never married, Male, Head of household,9808.20,980.82 Not in universe, Columbia, Foreign born- Not a citizen of U S ,52
967,36, High school graduate, Married-civilian spouse present, Female, Joint both under 65,22530.96,2452.14 Not in universe, United-States, Native- Born in the United States,0
968,69, Some college but no degree, Married-civilian spouse present, Male, Joint both 65+,16663.56,1666.36 Not in universe, United-States, Native- Born in the United States,0
969,16, 9th grade, Never married, Female, Nonfiler,3530.88,353.09 Mother only present, United-States, Native- Born in the United States,0
970,82, 10th grade, Widowed, Male, Single,16621.56,2029.48 Not in universe, United-States, Native- Born in the United States,0
971,49, High school graduate, Divorced, Female, Single,23157.72,3009.91 Not in universe, United-States, Native- Born in the United States,52
972,41, Bachelors degree(BA AB BS), Married-civilian spouse present, Female, Joint both under 65,3520.44,352.04 Not in universe, United-States, Native- Born in the United States,40
973,59, 5th or 6th grade, Married-civilian spouse present, Female, Joint both under 65,27668.16,3222.72 Not in universe, Mexico, Foreign born- Not a citizen of U S ,52
974,80, Masters degree(MA MS MEng MEd MSW MBA), Widowed, Female, Single,12939.36,1477.15 Not in universe, United-States, Native- Born in the United States,0
975,21, High school graduate, Married-civilian spouse present, Male, Joint both under 65,18168.96,1816.90 Not in universe, United-States, Native- Born in the United States,0
976,39, Some college but no degree, Divorced, Male, Single,33055.92,4494.64 Not in universe, United-States, Native- Born in the United States,43
977,36, Bachelors degree(BA AB BS), Married-civilian spouse present, Male, Joint both under 65,5239.32,523.93 Not in universe, United-States, Native- Born in the United States,52
978,25, Doctorate degree(PhD EdD), Married-civilian spouse present, Male, Joint both under 65,24144.36,2694.15 Not in universe, United-States, Native- Born in the United States,26
979,20, Some college but no degree, Never married, Male, Nonfiler,32421.72,4399.51 Not in universe, United-States, Native- Born in the United States,0
980,75, 1st 2nd 3rd or 4th grade, Widowed, Female, Nonfiler,22517.76,2913.91 Not in universe, United-States, Native- Born in the United States,0
981,54, Associates degree-occup /vocational, Married-civilian spouse present, Female, Joint both under 65,5806.20,580.62 Not in universe, United-States, Native- Born in the United States,52
982,21, Some college but no degree, Never married, Female, Nonfiler,19162.32,2410.60 Not in universe, Hong Kong, Foreign born- Not a citizen of U S ,0
983,25, High school graduate, Married-civilian spouse present, Female, Joint both under 65,39528.36,5001.75 Not in universe, United-States, Native- Born in the United States,52
984,33, High school graduate, Married-civilian spouse present, Female, Joint both under 65,30797.28,3692.09 Not in universe, United-States, Native- Born in the United States,40
985,16, 9th grade, Never married, Male, Nonfiler,3910.68,391.07 Mother only present, United-States, Native- Born in the United States,0
986,31, Bachelors degree(BA AB BS), Married-civilian spouse present, Female, Joint both under 65,15527.52,1552.75 Not in universe, United-States, Native- Born in the United States,52
987,38, Bachelors degree(BA AB BS), Married-civilian spouse present, Female, Joint both under 65,8525.04,852.50 Not in universe, United-States, Native- Born in the United States,52
988,51, High school graduate, Divorced, Male, Single,6742.68,674.27 Not in universe, United-States, Native- Born in the United States,0
989,37, Some college but no degree, Married-civilian spouse present, Female, Joint both under 65,48335.16,6322.77 Not in universe, United-States, Native- Born in the United States,0
990,38, Some college but no degree, Married-civilian spouse present, Female, Joint both under 65,39671.16,5023.17 Not in universe, United-States, Native- Born in the United States,9
991,20, Some college but no degree, Never married, Female, Single,27435.96,3651.64 Not in universe, United-States, Native- Born in the United States,35
992,47, Masters degree(MA MS MEng MEd MSW MBA), Married-civilian spouse present, Female, Joint both under 65,24609.36,2763.90 Not in universe, United-States, Native- Born in the United States,30
993,50, High school graduate, Married-civilian spouse present, Male, Joint both under 65,27589.68,3210.95 Not in universe, United-States, Native- Born in the United States,52
994,39, Bachelors degree(BA AB BS), Married-civilian spouse present, Male, Joint both under 65,12179.88,1217.99 Not in universe, United-States, Native- Born in the United States,52
995,18, High school graduate, Never married, Male, Single,13566.12,1571.17 Not in universe, United-States, Native- Born in the United States,20
996,58, Some college but no degree, Married-civilian spouse present, Female, Joint both under 65,28301.04,3317.66 Not in universe, United-States, Native- Born in the United States,5
997,63, High school graduate, Married-civilian spouse present, Male, Joint both under 65,22067.88,2382.68 Not in universe, United-States, Native- Born in the United States,0
998,30, Some college but no degree, Married-civilian spouse present, Male, Joint both under 65,37023.36,4626.00 Not in universe, Japan, Native- Born abroad of American Parent(s),52
999,78, Doctorate degree(PhD EdD), Widowed, Male, Single,20613.00,2628.20 Not in universe, United-States, Native- Born in the United States,0
1000,45, Bachelors degree(BA AB BS), Married-civilian spouse present, Male, Joint both under 65,26766.48,3087.47 Not in universe, United-States, Native- Born in the United States,52
1001,53, 9th grade, Married-civilian spouse present, Female, Joint both under 65,18371.64,1837.16 Not in universe, United-States, Native- Born in the United States,52
1002,45, Some college but no degree, Divorced, Male, Single,9889.56,1019.68 Not in universe, United-States, Native- Born in the United States,50
1003,26, Bachelors degree(BA AB BS), Never married, Female, Single,6857.76,685.78 Not in universe, United-States, Native- Born in the United States,49
1004,56, High school graduate, Widowed, Female, Single,27597.12,3675.82 Not in universe, United-States, Native- Born in the United States,0
1005,53, High school graduate, Married-civilian spouse present, Female, Joint both under 65,6270.00,627.00 Not in universe, United-States, Native- Born in the United States,52
1006,31, Associates degree-occup /vocational, Married-civilian spouse present, Male, Joint both under 65,16617.48,1661.75 Not in universe, United-States, Native- Born in the United States,52
1007,35, High school graduate, Married-civilian spouse present, Female, Joint both under 65,8826.60,882.66 Not in universe, Philippines, Foreign born- U S citizen by naturalization,52
1008,21, Some college but no degree, Never married, Male, Single,21387.60,2744.39 Not in universe, United-States, Native- Born in the United States,52
1009,24, High school graduate, Married-civilian spouse present, Male, Joint both under 65,20603.40,2163.01 Not in universe, United-States, Native- Born in the United States,52
1010,33, High school graduate, Never married, Male, Single,39832.32,5729.33 Not in universe, United-States, Native- Born in the United States,0
1011,17, 10th grade, Never married, Male, Nonfiler,25077.48,3297.87 Both parents present, United-States, Native- Born in the United States,1
1012,22, Some college but no degree, Never married, Female, Single,13210.08,1517.76 Not in universe, United-States, Native- Born in the United States,45
1013,83, Some college but no degree, Married-civilian spouse present, Male, Nonfiler,8086.44,808.64 Not in universe, United-States, Native- Born in the United States,0
1014,64, Some college but no degree, Married-civilian spouse present, Female, Joint both under 65,37901.76,4757.76 Not in universe, United-States, Native- Born in the United States,52
1015,40, Bachelors degree(BA AB BS), Married-civilian spouse present, Male, Joint both under 65,13471.20,1347.12 Not in universe, United-States, Native- Born in the United States,52
1016,44, 10th grade, Married-civilian spouse present, Male, Joint both under 65,20356.20,2125.93 Not in universe, United-States, Native- Born in the United States,52
1017,48, High school graduate, Married-civilian spouse present, Female, Joint both under 65,19395.72,1981.86 Not in universe, United-States, Native- Born in the United States,52
1018,45, 9th grade, Married-civilian spouse present, Female, Joint both under 65,15659.52,1565.95 Not in universe, Columbia, Foreign born- Not a citizen of U S ,28
1019,41, Associates degree-academic program, Married-civilian spouse present, Female, Joint both under 65,20825.16,2196.27 Not in universe, United-States, Native- Born in the United States,52
1020,27, High school graduate, Married-civilian spouse present, Female, Joint both under 65,14340.12,1434.01 Not in universe, United-States, Native- Born in the United States,19
1021,25, Associates degree-academic program, Never married, Female, Single,16247.16,1973.32 Not in universe, United-States, Native- Born in the United States,52
